method,path,line,function,auth,roles,request_model,response_shape,db_tables_touched_static,external_integration,frontend_callers,coverage_status
GET,/,7403,serve_index,PUBLIC,none,query/path params or none,dynamic JSON/HTML/FileResponse,none detected in handler,none detected in handler,none statically matched,TESTED
GET,/account-action-requests,3767,list_account_action_requests,AUTHENTICATED,"admin,manager",query/path params or none,dynamic JSON/HTML/FileResponse,"account_action_requests, users",none detected in handler,index.html:21609 (requestOrDeleteEmployee); index.html:21639 (renderAccountActionRequests); index.html:21732 (bulkResolveAccountActionRequests),NOT TESTED
POST,/account-action-requests,3742,create_account_action_request,AUTHENTICATED,"manager,staff",data:AccountActionRequestCreate,dynamic JSON/HTML/FileResponse,"account_action_requests, users",none detected in handler,index.html:21609 (requestOrDeleteEmployee); index.html:21639 (renderAccountActionRequests); index.html:21732 (bulkResolveAccountActionRequests),NOT TESTED
GET,/account-action-requests/history,3775,list_account_action_request_history,AUTHENTICATED,"admin,manager",limit:int; offset:int,dynamic JSON/HTML/FileResponse,"account_action_requests, users",none detected in handler,none statically matched,NOT TESTED
POST,/account-action-requests/{request_id}/{resolution},3783,resolve_account_action_request,AUTHENTICATED,admin,request_id:int; resolution:str,dynamic JSON/HTML/FileResponse,"account_action_requests, users",none detected in handler,index.html:21709 (resolveAccountActionRequest); index.html:21750 (bulkResolveAccountActionRequests),NOT TESTED
POST,/ai/chat,7389,ai_chat,PUBLIC,none,req:ChatRequest,dynamic JSON/HTML/FileResponse,"products, users",none detected in handler,index.html:26745 (sendAIChat),NOT TESTED
GET,/ai/insights,7382,ai_insights,PUBLIC,none,query/path params or none,dynamic JSON/HTML/FileResponse,"products, users",none detected in handler,index.html:26596 (fetchAIInsights),NOT TESTED
POST,/ai/scan-barcode,6158,scan_barcode,AUTHENTICATED,any authenticated,req:BarcodeScanRequest,dynamic JSON/HTML/FileResponse,"general_catalog, users",none detected in handler,index.html:22378 (lookupBarcode),NOT TESTED
POST,/ai/scan-invoice,7352,scan_invoice,PUBLIC,none,req:InvoiceScanRequest,dynamic JSON/HTML/FileResponse,users,AI provider,index.html:26121 (captureSnapshotAndAnalyze); index.html:26155 (handleGlobalBulkInvoiceUpload),NOT TESTED
POST,/ai/suggest-margin,7346,suggest_margin,PUBLIC,none,req:MarginRequest,dynamic JSON/HTML/FileResponse,"products, users",none detected in handler,index.html:22276 (runProductAiMarginAdvice); index.html:22297 (runEditAiMarginAdvice),NOT TESTED
GET,/alerts,6068,get_alerts,AUTHENTICATED,any authenticated,query/path params or none,dynamic JSON/HTML/FileResponse,users,none detected in handler,index.html:26535 (refreshNotificationBadge); index.html:26575 (renderAlerts),NOT TESTED
POST,/alerts/{alert_id}/read,6072,read_alert,AUTHENTICATED,any authenticated,alert_id:int,dynamic JSON/HTML/FileResponse,"alert_reads, alerts, users",none detected in handler,index.html:26577 (markAlertRead),NOT TESTED
GET,/audit-logs,3834,list_audit_logs,AUTHENTICATED,"admin,manager",limit:int; offset:int; q:Optional[str]; actor_username:Optional[str]; action:Optional[str]; date_from:Optional[str]; date_to:Optional[str],dynamic JSON/HTML/FileResponse,"audit_logs, users",none detected in handler,index.html:21990 (renderAuditLog),NOT TESTED
GET,/audit-logs/actions,3906,list_audit_log_actions,AUTHENTICATED,"admin,manager",query/path params or none,dynamic JSON/HTML/FileResponse,"audit_logs, users",none detected in handler,index.html:21769 (populateAuditLogFilterOptions),NOT TESTED
