source,line,function,method,endpoint,query_params,request_body,expected_response,error_handling,authentication,backend_contract,coverage_status
index.html,2839,isBackendReachable,GET,/health,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,PARTIALLY TESTED
index.html,18633,handleForgotPassword,POST,/auth/forgot-password,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,18658,resendForgotPasswordCode,POST,/auth/forgot-password,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,18680,handlePasswordRecoveryReset,POST,/auth/reset-password,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,19006,runExcelExport,POST,/export/xlsx,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,19578,endPresenceSession,POST,/presence/logout,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,19586,startPresenceHeartbeat,POST,/presence/heartbeat,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,19613,handleSignOut,POST,/auth/logout,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,19680,confirmClearInventoryData,DELETE,/products/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,19701,confirmFullAppReset,POST,/auth/clear-client-session,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,19733,confirmDeleteBusinessProfile,DELETE,/business-profile/,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,19916,loadPublicPlanCatalog,GET,/plans,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,PARTIALLY TESTED
index.html,20051,startOnboardingPaymentVerification,POST,/onboarding/payment/init,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,20116,handleRegisterBusinessSubmit,POST,/auth/register-business,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,no local handler visible in call window,raw fetch; public/cookie-dependent,MATCH,PARTIALLY TESTED
index.html,20204,verifyBusinessCodeServerSide,POST,/auth/verify-business,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,no local handler visible in call window,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,20437,handleMandatoryPasswordChange,POST,/auth/change-password,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,20542,openSettingsModal,GET,/business-profile/,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,20678,loadBillingPanel,GET,/subscription/usage,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
