model,table,line,columns,keys,relationships,indexes,constraints
BusinessProfile,business_profile,263,"id: Column(Integer, primary_key=True, index=True) | business_code: Column(String, unique=True, index=True, nullable=False) | company_name: Column(String, default='Cauldra') | email: Column(String, nullable=True) | phone: Column(String, nullable=True) | address: Column(String, nullable=True) | currency: Column(String, default='USD ($)') | tax_id: Column(String, nullable=True) | country: Column(String, nullable=True) | country_code: Column(String, nullable=True) | locale: Column(String, default='en-US') | language: Column(String, default='en') | timezone: Column(String, default='UTC') | phone_country_code: Column(String, nullable=True) | subscription_plan: Column(String, nullable=False, default='starter') | billing_interval: Column(String, nullable=False, default='monthly') | subscription_started_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | trial_started_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | brain_relationships_checked_at: Column(SQLDateTime, nullable=True) | business_brain_dirty: Column(Boolean, default=True, nullable=False) | business_brain_refreshed_at: Column(SQLDateTime, nullable=True)","id: Column(Integer, primary_key=True, index=True)","users: relationship('User', back_populates='business_rel', cascade='all, delete-orphan')","id, business_code",UNIQUE(business_code)
Warehouse,warehouses,295,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | name: Column(String, nullable=False) | is_active: Column(Boolean, default=True, nullable=False) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | updated_at: Column(SQLDateTime, default=datetime.utcnow, onupdate=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True)",none declared,"id, business_id",none declared in ORM
User,users,305,"id: Column(Integer, primary_key=True, index=True) | username: Column(String, index=True, nullable=False) | password: Column(String, nullable=False) | previous_password_hash: Column(String, nullable=True) | role: Column(String, nullable=False, default='staff') | firstname: Column(String, nullable=True) | lastname: Column(String, nullable=True) | position: Column(String, nullable=True) | email: Column(String, nullable=False) | phone: Column(String, nullable=False) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | must_change_password: Column(Boolean, default=False, nullable=False) | disabled: Column(Boolean, default=False, nullable=False) | auth_version: Column(Integer, default=1, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False)","business_rel: relationship('BusinessProfile', back_populates='users')","id, username",none declared in ORM
Product,products,325,"id: Column(Integer, primary_key=True, index=True) | sku: Column(String, index=True, nullable=False) | barcode: Column(String, index=True, nullable=True) | name: Column(String, nullable=False) | category: Column(String, nullable=False) | size: Column(String, nullable=True) | quantity: Column(Integer, nullable=False, default=0) | min_stock_level: Column(Integer, nullable=False, default=5) | cost_price: Column(Float, nullable=False, default=0.0) | wholesale_price: Column(Float, default=0.0) | retail_price: Column(Float, nullable=False, default=0.0) | warehouse: Column(String, default='Main Central Warehouse') | initial_stock: Column(Integer, default=0) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | expiry_date: Column(SQLDateTime, nullable=True) | seasonal_checked_at: Column(SQLDateTime, nullable=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | owner_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | client_ref: Column(String, nullable=True, index=True) | synced_at: Column(SQLDateTime, nullable=True)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | owner_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True)",none declared,"id, sku, barcode, client_ref",none declared in ORM
Supplier,suppliers,352,"id: Column(Integer, primary_key=True, index=True) | name: Column(String, nullable=False) | contact_email: Column(String, nullable=True) | phone: Column(String, nullable=False) | lead_time_days: Column(Integer, default=3) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | owner_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | owner_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True)",none declared,id,none declared in ORM
PurchaseOrder,purchase_orders,362,"id: Column(Integer, primary_key=True, index=True) | supplier_id: Column(Integer, ForeignKey('suppliers.id', ondelete='SET NULL'), nullable=True) | status: Column(String, default='DRAFT') | total_estimated_cost: Column(Float, default=0.0) | email_draft: Column(Text) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | owner_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | supplier_id: Column(Integer, ForeignKey('suppliers.id', ondelete='SET NULL'), nullable=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | owner_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True)",none declared,id,none declared in ORM
Expense,expenses,373,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | category: Column(String, nullable=False) | amount: Column(Float, nullable=False) | payment_source: Column(String, nullable=True) | note: Column(String, nullable=True) | owner_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False, index=True) | client_ref: Column(String, nullable=True, index=True) | synced_at: Column(SQLDateTime, nullable=True) | business_day_id: Column(Integer, ForeignKey('business_days.id', ondelete='SET NULL'), nullable=True, index=True)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | owner_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | business_day_id: Column(Integer, ForeignKey('business_days.id', ondelete='SET NULL'), nullable=True, index=True)",none declared,"id, business_id, created_at, client_ref, business_day_id",none declared in ORM
WarehouseStock,warehouse_stocks,408,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True) | warehouse: Column(String, nullable=False) | quantity: Column(Integer, nullable=False, default=0) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | updated_at: Column(SQLDateTime, default=datetime.utcnow, onupdate=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True)",none declared,"id, business_id, product_id",none declared in ORM
ProductDeletionRequest,product_deletion_requests,418,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='SET NULL'), nullable=True) | product_name: Column(String, nullable=False) | requested_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | requested_by_name: Column(String, nullable=False) | status: Column(String, nullable=False, default='PENDING', index=True) | reason: Column(Text, nullable=True) | resolved_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | resolved_by_name: Column(String, nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | resolved_at: Column(SQLDateTime, nullable=True)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='SET NULL'), nullable=True) | requested_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True) | resolved_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True)",none declared,"id, business_id, status",none declared in ORM
SaleModel,sales,433,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | product_id: Column(Integer, ForeignKey('products.id', ondelete='SET NULL'), nullable=True) | quantity: Column(Integer, default=0) | total_price: Column(Float, default=0.0) | unit_cost_at_sale: Column(Float, nullable=True) | timestamp: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | client_ref: Column(String, nullable=True, index=True) | synced_at: Column(SQLDateTime, nullable=True) | business_day_id: Column(Integer, ForeignKey('business_days.id', ondelete='SET NULL'), nullable=True, index=True)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False) | product_id: Column(Integer, ForeignKey('products.id', ondelete='SET NULL'), nullable=True) | business_day_id: Column(Integer, ForeignKey('business_days.id', ondelete='SET NULL'), nullable=True, index=True)",none declared,"id, client_ref, business_day_id",none declared in ORM
